no,predator,predator_verbatim,predator_rank,predator_taxon,predator_age,predator_sex,predator_count,predator_mass,predator_svl,predator_tl,predator_voucher,prey,prey_verbatim,prey_rank,prey_taxon,prey_age,prey_sex,prey_count,prey_mass,prey_tl,prey_ingested,prey_voucher,locality_adm0_name,locality_adm1_name,locality_adm2_name,locality_misc,locality_longitude,locality_latitude,event_basis,event_setting,event_date,event_start,event_end,event_outcome,event_habitat,event_habitat_verbatim,event_remark,reference,prey_traditional,prey_phylo1,prey_phylo2,prey_functional1,prey_functional2,prey_type,radiation
9896,Acanthophis_antarcticus,Acanthophis antarcticus,species,Acanthophis_antarcticus;Acanthophis;Elapidae;Serpentes;Squamata;Reptilia;Chordata;Animalia,juvenile,NA,1,NA,NA,NA,0ac5a02a3da5542cb6ff8f543c2a68e0,Amphibolurus_muricatus,Amphibolurus muricatus,species,Amphibolurus_muricatus;Amphibolurus;Agamidae;Squamata;Reptilia;Chordata;Animalia,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dissected_gut_contents,natural_setting,NA,NA,NA,prey_eaten,NA,NA,NA,Ecology of the Australian Death Adder Acanthophis antarcticus (Elapidae): Evidence for Convergence with the Viperidae. 1980. Journal of Herpetology 36(4): 281-289,lizards,Iguania,Agamidae,scaly,fossorial,3,australo_papuan
9906,Acanthophis_antarcticus,Acanthophis antarcticus,species,Acanthophis_antarcticus;Acanthophis;Elapidae;Serpentes;Squamata;Reptilia;Chordata;Animalia,adult,NA,1,NA,NA,NA,aaed559e54f5483f6edd1ef91b3735f0,Antechinus,Antechinus,genus,Antechinus;Dasyuridae;Dasyuromorphia;Mammalia;Chordata;Animalia,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dissected_gut_contents,natural_setting,NA,NA,NA,prey_eaten,NA,NA,NA,Ecology of the Australian Death Adder Acanthophis antarcticus (Elapidae): Evidence for Convergence with the Viperidae. 1980. Journal of Herpetology 36(4): 281-289,mammals,Dasyuromorphia,Marsupialia,hairy-bulky,terrestrial,3,australo_papuan
9892,Acanthophis_antarcticus,Acanthophis antarcticus,species,Acanthophis_antarcticus;Acanthophis;Elapidae;Serpentes;Squamata;Reptilia;Chordata;Animalia,juvenile,NA,1,NA,NA,NA,a8619606a5d3aed0f84933e5fb6e8c1b,Anura,Frog,order,Anura;Amphibia;Chordata;Animalia,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dissected_gut_contents,natural_setting,NA,NA,NA,prey_eaten,NA,NA,NA,Ecology of the Australian Death Adder Acanthophis antarcticus (Elapidae): Evidence for Convergence with the Viperidae. 1980. Journal of Herpetology 36(4): 281-289,amphibians,Anura,Anura,slippery,terrestrial,4,australo_papuan
9904,Acanthophis_antarcticus,Acanthophis antarcticus,species,Acanthophis_antarcticus;Acanthophis;Elapidae;Serpentes;Squamata;Reptilia;Chordata;Animalia,adult,NA,1,NA,NA,NA,8735909907db3c857cd4d2a094808df3,Aves,Bird,class,Aves;Chordata;Animalia,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dissected_gut_contents,natural_setting,NA,NA,NA,prey_eaten,NA,NA,NA,Ecology of the Australian Death Adder Acanthophis antarcticus (Elapidae): Evidence for Convergence with the Viperidae. 1980. Journal of Herpetology 36(4): 281-289,birds,Aves,Aves,winged-feathered,terrestrial,4,australo_papuan
9898,Acanthophis_antarcticus,Acanthophis antarcticus,species,Acanthophis_antarcticus;Acanthophis;Elapidae;Serpentes;Squamata;Reptilia;Chordata;Animalia,adult,NA,1,NA,NA,NA,12d719d0f507f367a7c64404e4bf40bd,Cryptoblepharus_plagiocephalus,Cryptoblepharus plagiocephalus,species,Cryptoblepharus_plagiocephalus;Cryptoblepharus;Scincidae;Squamata;Reptilia;Chordata;Animalia,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dissected_gut_contents,natural_setting,NA,NA,NA,prey_eaten,NA,NA,NA,Ecology of the Australian Death Adder Acanthophis antarcticus (Elapidae): Evidence for Convergence with the Viperidae. 1980. Journal of Herpetology 36(4): 281-289,lizards,Scincomorpha,Scincidae,scaly,terrestrial,3,australo_papuan
9900,Acanthophis_antarcticus,Acanthophis antarcticus,species,Acanthophis_antarcticus;Acanthophis;Elapidae;Serpentes;Squamata;Reptilia;Chordata;Animalia,adult,NA,1,NA,NA,NA,2e963ebe03e35596c163a5b974269080,Ctenotus_robustus,Ctenotus robustus,species,Ctenotus_robustus;Ctenotus;Scincidae;Squamata;Reptilia;Chordata;Animalia,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dissected_gut_contents,natural_setting,NA,NA,NA,prey_eaten,NA,NA,NA,Ecology of the Australian Death Adder Acanthophis antarcticus (Elapidae): Evidence for Convergence with the Viperidae. 1980. Journal of Herpetology 36(4): 281-289,lizards,Scincomorpha,Scincidae,scaly,terrestrial,3,australo_papuan
9899,Acanthophis_antarcticus,Acanthophis antarcticus,species,Acanthophis_antarcticus;Acanthophis;Elapidae;Serpentes;Squamata;Reptilia;Chordata;Animalia,adult,NA,1,NA,NA,NA,e3ba2a70d95529ed6fb3bf5cda6d33f7,Ctenotus_taeniolatus,Ctenotus taeniolatus,species,Ctenotus_taeniolatus;Ctenotus;Scincidae;Squamata;Reptilia;Chordata;Animalia,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dissected_gut_contents,natural_setting,NA,NA,NA,prey_eaten,NA,NA,NA,Ecology of the Australian Death Adder Acanthophis antarcticus (Elapidae): Evidence for Convergence with the Viperidae. 1980. Journal of Herpetology 36(4): 281-289,lizards,Scincomorpha,Scincidae,scaly,terrestrial,3,australo_papuan
9901,Acanthophis_antarcticus,Acanthophis antarcticus,species,Acanthophis_antarcticus;Acanthophis;Elapidae;Serpentes;Squamata;Reptilia;Chordata;Animalia,adult,NA,1,NA,NA,NA,904cdff56e0e803472b7aa2f68050c4d,Eulamprus_quoyii,Sphenomorphus quoyi,species,Eulamprus_quoyii;Eulamprus;Scincidae;Squamata;Reptilia;Chordata;Animalia,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dissected_gut_contents,natural_setting,NA,NA,NA,prey_eaten,NA,NA,NA,Ecology of the Australian Death Adder Acanthophis antarcticus (Elapidae): Evidence for Convergence with the Viperidae. 1980. Journal of Herpetology 36(4): 281-289,lizards,Scincomorpha,Scincidae,scaly,terrestrial,3,australo_papuan
9903,Acanthophis_antarcticus,Acanthophis antarcticus,species,Acanthophis_antarcticus;Acanthophis;Elapidae;Serpentes;Squamata;Reptilia;Chordata;Animalia,adult,NA,1,NA,NA,NA,84faab89e06f16b6fc873b04072ace06,Intellagama_lesueurii,Physignathus lesueuri,species,Intellagama_lesueurii;Intellagama;Agamidae;Squamata;Reptilia;Chordata;Animalia,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dissected_gut_contents,natural_setting,NA,NA,NA,prey_eaten,NA,NA,NA,Ecology of the Australian Death Adder Acanthophis antarcticus (Elapidae): Evidence for Convergence with the Viperidae. 1980. Journal of Herpetology 36(4): 281-289,lizards,Iguania,Agamidae,scaly,terrestrial,3,australo_papuan
9894,Acanthophis_antarcticus,Acanthophis antarcticus,species,Acanthophis_antarcticus;Acanthophis;Elapidae;Serpentes;Squamata;Reptilia;Chordata;Animalia,juvenile,NA,1,NA,NA,NA,f62288ba1ea853f35a1d74d2c603044c,Lampropholis,Lampropholis,genus,Lampropholis;Scincidae;Squamata;Reptilia;Chordata;Animalia,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dissected_gut_contents,natural_setting,NA,NA,NA,prey_eaten,NA,NA,NA,Ecology of the Australian Death Adder Acanthophis antarcticus (Elapidae): Evidence for Convergence with the Viperidae. 1980. Journal of Herpetology 36(4): 281-289,lizards,Scincomorpha,Scincidae,scaly,terrestrial,3,australo_papuan
