taxon,geog_radiation
Acanthophis_antarcticus,australo_papuan
Acanthophis_cryptamydros,australo_papuan
Acanthophis_hawkei,australo_papuan
Acanthophis_laevis,australo_papuan
Acanthophis_praelongus,australo_papuan
Acanthophis_pyrrhus,australo_papuan
Acanthophis_rugosus,australo_papuan
Acanthophis_wellsi,australo_papuan
Aipysurus_apraefrontalis,sea_snakes
Aipysurus_duboisii,sea_snakes
Aipysurus_eydouxii,sea_snakes
Aipysurus_foliosquama,sea_snakes
Aipysurus_fuscus,sea_snakes
Aipysurus_laevis,sea_snakes
Aipysurus_mosaicus,sea_snakes
Aipysurus_pooleorum,sea_snakes
Aipysurus_tenuis,sea_snakes
Antaioserpens_warro,australo_papuan
Aspidelaps_lubricus,afro-asian
Aspidelaps_scutatus,afro-asian
Aspidomorphus_lineaticollis,australo_papuan
Aspidomorphus_muelleri,australo_papuan
Aspidomorphus_schlegeli,australo_papuan
Aspidomorphus_schlegelii,australo_papuan
Austrelaps_labialis,australo_papuan
Austrelaps_ramsayi,australo_papuan
Austrelaps_superbus,australo_papuan
Brachyurophis_approximans,australo_papuan
Brachyurophis_australis,australo_papuan
Brachyurophis_fasciolatus,australo_papuan
Brachyurophis_incinctus,australo_papuan
Brachyurophis_morrisi,australo_papuan
Brachyurophis_roperi,australo_papuan
Brachyurophis_semifasciatus,australo_papuan
Bungarus_bungaroides,kraits
Bungarus_caeruleus,kraits
Bungarus_candidus,kraits
Bungarus_ceylonicus,kraits
Bungarus_fasciatus,kraits
Bungarus_flaviceps,kraits
Bungarus_lividus,kraits
Bungarus_magnimaculatus,kraits
Bungarus_multicinctus,kraits
Bungarus_niger,kraits
Bungarus_sindanus,kraits
Bungarus_slowinskii,kraits
Cacophis_harriettae,australo_papuan
Cacophis_krefftii,australo_papuan
Cacophis_squamulosus,australo_papuan
Calliophis_bibroni,asian-corals
Calliophis_billineatus,asian-corals
Calliophis_bivirgatus,asian-corals
Calliophis_intestinalis,asian-corals
Calliophis_nigrescens,asian-corals
Calliophis_philippinus,asian-corals
Calliophis_salitan,asian-corals
Cryptophis_boschmai,australo_papuan
Cryptophis_nigrescens,australo_papuan
Cryptophis_nigrostriatus,australo_papuan
Demansia_olivacea,australo_papuan
Demansia_papuensis,australo_papuan
Demansia_psammophis,australo_papuan
Demansia_torquata,australo_papuan
Demansia_vestigiata,australo_papuan
Dendroaspis_angusticeps,afro-asian
Dendroaspis_jamesoni,afro-asian
Dendroaspis_polylepis,afro-asian
Dendroaspis_viridis,afro-asian
Denisonia_devisi,australo_papuan
Denisonia_maculata,australo_papuan
Drysdalia_coronoides,australo_papuan
Drysdalia_mastersii,australo_papuan
Drysdalia_rhodogaster,australo_papuan
Echiopsis_curta,australo_papuan
Elapognathus_coronatus,australo_papuan
Elapognathus_minor,australo_papuan
Elapsoidea_boulengeri,afro-asian
Elapsoidea_guentherii,afro-asian
Elapsoidea_loveridgei,afro-asian
Elapsoidea_nigra,afro-asian
Elapsoidea_semiannulata,afro-asian
Elapsoidea_sundevallii,afro-asian
Elapsoidea_trapei,afro-asian
Emydocephalus_annulatus,sea_snakes
Emydocephalus_ijimae,sea_snakes
Ephalophis_greyae,sea_snakes
Furina_barnardi,australo_papuan
Furina_diadema,australo_papuan
Furina_dunmalli,australo_papuan
Furina_ornata,australo_papuan
Furina_tristis,australo_papuan
Hemachatus_haemachatus,australo_papuan
Hemiaspis_damelii,australo_papuan
Hemiaspis_signata,australo_papuan
Hemibungarus_calligaster,australo_papuan
Hoplocephalus_bitorquatus,australo_papuan
Hoplocephalus_bungaroides,australo_papuan
Hoplocephalus_stephensii,australo_papuan
